chain,R_0,D_inf,ρ
1,6.47566739328702,0.5002001983532104,0.7115823790555748
1,5.931947804614396,0.5005844012905938,0.6731004541509993
1,5.931947804614396,0.5005844012905938,0.6731004541509993
1,5.931947804614396,0.5005844012905938,0.6731004541509993
1,5.931947804614396,0.5005844012905938,0.6731004541509993
1,5.931947804614396,0.5005844012905938,0.6731004541509993
1,5.931947804614396,0.5005844012905938,0.6731004541509993
1,4.730884056352946,0.5006958330749988,0.7153013655172885
1,5.423305138847861,0.5008350679724118,0.7963710802435168
1,6.1521560281514285,0.5025730963533844,0.7465959948929125
1,4.8689754599190405,0.5027386702708405,0.7032633308037378
1,4.8689754599190405,0.5027386702708405,0.7032633308037378
1,5.038797314022795,0.5004855630976617,0.7803411818707405
1,5.410785133588896,0.5012001848604299,0.7438238083121166
1,6.109197207817148,0.5016526247445262,0.7627648395055158
1,4.88315484331112,0.5006413583086392,0.6907319589440245
1,6.330590809825188,0.5021909390440439,0.7360308953050032
1,6.529641980072835,0.5019562875378936,0.7594160169621353
1,6.3568356387874925,0.5006897185817415,0.7264562950143585
1,5.572198033917557,0.5008253906799657,0.6921169040541265
1,5.572198033917557,0.5008253906799657,0.6921169040541265
1,5.803137447721699,0.5031568471539094,0.7197521858458156
1,5.803137447721699,0.5031568471539094,0.7197521858458156
1,6.632457399807378,0.5110262104213155,0.7333141382692346
1,6.632457399807378,0.5110262104213155,0.7333141382692346
1,6.632457399807378,0.5110262104213155,0.7333141382692346
1,5.026296490667433,0.5030283133773846,0.7437511712336493
1,4.953219775721548,0.5223237668408536,0.6940260912938881
1,4.953219775721548,0.5223237668408536,0.6940260912938881
1,4.580513100889917,0.5201228537874847,0.7340797815143258
1,4.634055950219069,0.5226463578921764,0.6926763119462517
1,4.634055950219069,0.5226463578921764,0.6926763119462517
1,4.634055950219069,0.5226463578921764,0.6926763119462517
1,4.634055950219069,0.5226463578921764,0.6926763119462517
1,5.537686150294182,0.5529379733026097,0.6466545261953722
1,6.830685884804542,0.6115538082339582,0.6961894870297819
1,8.157003961418216,0.614156767936436,0.7257471154453914
1,6.889488666957103,0.7115534263053439,0.6864976952756586
1,5.926397494958574,0.5387079159234078,0.7554954346068516
1,6.700048229067566,0.5318219502201083,0.6921350465991488
1,4.896873803460105,0.5871092377525032,0.6582820751053566
1,8.010245651510383,0.8327236152503984,0.6676796062386405
1,6.8954705528200595,0.748825623366401,0.7404020267427517
1,8.762245782456077,1.4461701778398899,0.6435206517769289
1,6.708623855480091,0.8688131257448479,0.6737143896800586
1,6.708623855480091,0.8688131257448479,0.6737143896800586
1,7.113647863841732,1.0114975194529834,0.6697812804363785
1,5.065437525865594,0.6806096239731193,0.7489502848409686
1,5.065437525865594,0.6806096239731193,0.7489502848409686
1,4.492939327183822,0.6070939993935707,0.7506544783192036
1,4.338761781186373,0.5949706468835168,0.7413988548457158
1,6.186219813281373,0.6111143947162109,0.7407497667526768
1,7.2566063386241195,0.6138920682858601,0.7941843447834721
1,7.253185987679998,0.569868299281829,0.7585823967367569
1,8.25981240063835,0.584021225319139,0.7673391856133532
1,4.764469738085412,0.5551548033163104,0.7579384394057227
1,5.15030502341701,0.5422675184574854,0.7412202148001843
1,5.5712994126292115,0.6794428053887959,0.7768720876463663
1,6.934611542648872,0.7895619698259703,0.7093714466852098
1,6.934611542648872,0.7895619698259703,0.7093714466852098
1,6.934611542648872,0.7895619698259703,0.7093714466852098
1,5.985589156378217,0.8809201662693135,0.7601330506641715
1,6.128048597795229,0.9303015780224249,0.7104441563836716
1,6.331700115772031,1.0782391898676824,0.6906938157269066
1,6.540340823043465,1.7365705732906687,0.6982250997191564
1,6.540340823043465,1.7365705732906687,0.6982250997191564
1,8.03879945107344,1.6287108036535203,0.7087360174445724
1,6.312027095510841,1.103696254966175,0.7412755773608238
1,7.37164939263134,1.2495947773106966,0.6801715379589418
1,5.3605536689254345,0.8159521901073394,0.6744635648426412
1,7.903207790506517,1.4801801824433756,0.6242802256053888
1,7.903207790506517,1.4801801824433756,0.6242802256053888
1,8.539625172071677,1.8163668618087925,0.6420882215696797
1,7.5637150333202,1.3704243924549284,0.6682882413285018
1,7.5637150333202,1.3704243924549284,0.6682882413285018
1,7.5637150333202,1.3704243924549284,0.6682882413285018
1,7.5637150333202,1.3704243924549284,0.6682882413285018
1,7.5637150333202,1.3704243924549284,0.6682882413285018
1,6.826912180240365,1.1727988379082037,0.664031491881964
1,6.826912180240365,1.1727988379082037,0.664031491881964
1,7.522197595001584,2.2022226109494154,0.649691398670522
1,7.432363293544137,1.5668160669152045,0.6437655355441423
1,7.797508264887285,1.534801977570401,0.7386281577085799
1,8.189443341572762,1.9623829636493757,0.6848081078116954
1,8.836812068299139,2.454965200319335,0.7680753064156495
1,6.368917675091989,2.071939942398301,0.7122582217844383
1,6.589881434258018,1.252712769983669,0.6733406030525985
1,6.589881434258018,1.252712769983669,0.6733406030525985
1,8.737963165896678,1.070012433067393,0.6633806300760706
1,8.737963165896678,1.070012433067393,0.6633806300760706
1,4.90980111807647,0.8648355200704442,0.7724987619603183
1,8.288401097288613,1.260230574754631,0.7524475864410083
1,6.232764126430818,1.1812296713628205,0.732898778718892
1,5.27346776053933,0.9575310721684426,0.7021245876205486
1,6.2508234670157625,1.719656742119859,0.7057099530769506
1,6.630284681848333,2.322109833285431,0.7646713204912302
1,7.350722335636505,2.2649602858006777,0.7854613841586248
1,8.577181724244488,2.1185025558871216,0.8234606977482628
1,8.577181724244488,2.1185025558871216,0.8234606977482628
1,6.644267737167693,1.1342347419016163,0.7915911732003929
1,6.828055555426791,1.3303514500054963,0.6879189015686528
1,7.915407427855526,0.9976195269307817,0.6638500984013831
1,7.938399978486212,1.5256127210580583,0.707624308486444
1,7.8395974063034135,1.6758922086648131,0.6868101726514598
1,7.8395974063034135,1.6758922086648131,0.6868101726514598
1,7.345674180977687,1.8868033754070752,0.7505802826791328
1,7.973251722922981,1.5859414529791367,0.7437542825652489
1,7.068038818676783,1.457647462756837,0.7222373864518279
1,7.068038818676783,1.457647462756837,0.7222373864518279
1,7.068038818676783,1.457647462756837,0.7222373864518279
1,7.068038818676783,1.457647462756837,0.7222373864518279
1,5.992482069558913,1.351092407714872,0.7250041511334646
1,5.992482069558913,1.351092407714872,0.7250041511334646
1,7.6584581596637165,2.006058010971323,0.6880648506958438
1,8.224921573425062,1.7907200167878377,0.7752649650952732
1,8.224921573425062,1.7907200167878377,0.7752649650952732
1,6.924712047775318,1.1420656106423859,0.6749833503654726
1,6.634069207705823,0.96973453494823,0.7339363290438734
1,5.20007691190871,0.8390869616384857,0.6968851699262791
1,6.529199500040031,1.6727170638328275,0.7111566669544739
1,6.529199500040031,1.6727170638328275,0.7111566669544739
1,6.529199500040031,1.6727170638328275,0.7111566669544739
1,6.529199500040031,1.6727170638328275,0.7111566669544739
1,6.529199500040031,1.6727170638328275,0.7111566669544739
1,5.43850488442632,0.8492868175051176,0.7641054864432353
1,7.855774837602271,0.7611431213641301,0.691741742019508
1,7.855774837602271,0.7611431213641301,0.691741742019508
1,5.886796562127675,0.6392248566327152,0.7195326102488163
1,5.886796562127675,0.6392248566327152,0.7195326102488163
1,5.886796562127675,0.6392248566327152,0.7195326102488163
1,5.886796562127675,0.6392248566327152,0.7195326102488163
1,6.086456833700676,0.8511250083937809,0.7487189726748512
1,5.348613103029513,0.6567071949865568,0.6939298536508745
1,5.348613103029513,0.6567071949865568,0.6939298536508745
1,6.4105365679273,0.941909164630882,0.6782808913078027
1,7.740276101968861,0.6716176058300578,0.6799118368459193
1,6.700360516089288,1.218978021199491,0.8242421496099747
1,8.507121590696306,1.9260236983087191,0.7253136875940269
1,10.017062625964027,2.7862491089203316,0.7742936769330742
1,8.38145519862223,1.2621602723817398,0.7825177194267359
1,6.372895617342468,1.363311765341781,0.7191825878143556
1,8.683369129440347,2.1822026020543266,0.6686369239899986
1,8.683369129440347,2.1822026020543266,0.6686369239899986
1,8.683369129440347,2.1822026020543266,0.6686369239899986
1,8.683369129440347,2.1822026020543266,0.6686369239899986
1,8.683369129440347,2.1822026020543266,0.6686369239899986
1,8.683369129440347,2.1822026020543266,0.6686369239899986
1,7.04649760608105,1.5944186975474979,0.7029319531637989
1,6.487403107395655,1.4379322240955164,0.7321247823265424
1,6.487403107395655,1.4379322240955164,0.7321247823265424
1,6.487403107395655,1.4379322240955164,0.7321247823265424
1,5.564549104855574,1.0740148953463098,0.7678062863717864
1,6.779893999282979,1.2935268388399064,0.7975502020533908
